customerID,original_probability,simulated_probability,probability_change
7216-EWTRS,0.9620574084765344,0.9410116627350135,0.02104574574152096
7216-EWTRS,0.9620574084765344,0.9467493626273552,0.01530804584917922
7216-EWTRS,0.9620574084765344,0.9400351334127052,0.022022275063829255
7216-EWTRS,0.9620574084765344,0.8514500635508359,0.11060734492569857
7216-EWTRS,0.9620574084765344,0.9534188616362743,0.008638546840260108
7216-EWTRS,0.9620574084765344,0.9366314711279545,0.025425937348579897
7216-EWTRS,0.9620574084765344,0.6565714242502682,0.30548598422626627
7216-EWTRS,0.9620574084765344,0.494754588280733,0.46730282019580144
7216-EWTRS,0.9620574084765344,0.883423659554889,0.07863374892164543
7216-EWTRS,0.9620574084765344,0.8918169053013046,0.07024050317522978
7216-EWTRS,0.9620574084765344,0.9382717045411564,0.023785703935378044
7216-EWTRS,0.9620574084765344,0.808056481991794,0.1540009264847404
7216-EWTRS,0.9620574084765344,0.8917039991596271,0.07035340931690737
7216-EWTRS,0.9620574084765344,0.9018316068895099,0.06022580158702451
7216-EWTRS,0.9620574084765344,0.6259993682331583,0.33605804024337615
7216-EWTRS,0.9620574084765344,0.4148617388381039,0.5471956696384306
7216-EWTRS,0.9620574084765344,0.8279991912267608,0.13405821724977363
7216-EWTRS,0.9620574084765344,0.9449452109050288,0.017112197571505616
7216-EWTRS,0.9620574084765344,0.8284194439277822,0.1336379645487522
7216-EWTRS,0.9620574084765344,0.9388084367582167,0.023248971718317746
9300-AGZNL,0.9576007745425607,0.9076856745440841,0.04991509999847654
9300-AGZNL,0.9576007745425607,0.9422105135265785,0.015390261015982176
9300-AGZNL,0.9576007745425607,0.9486342431822208,0.008966531360339869
9300-AGZNL,0.9576007745425607,0.7881492595474899,0.16945151499507072
9300-AGZNL,0.9576007745425607,0.9503280043341652,0.0072727702083954515
9300-AGZNL,0.9576007745425607,0.9478669933123549,0.00973378123020574
9300-AGZNL,0.9576007745425607,0.6423998676270611,0.3152009069154995
9300-AGZNL,0.9576007745425607,0.500068372976982,0.4575324015655786
9300-AGZNL,0.9576007745425607,0.9096759600572852,0.04792481448527541
9300-AGZNL,0.9576007745425607,0.8622002777251181,0.09540049681744256
9300-AGZNL,0.9576007745425607,0.900347881535526,0.05725289300703462
9300-AGZNL,0.9576007745425607,0.7476055661578066,0.20999520838475405
9300-AGZNL,0.9576007745425607,0.8687474786383443,0.08885329590421631
9300-AGZNL,0.9576007745425607,0.8989911966258255,0.058609577916735156
9300-AGZNL,0.9576007745425607,0.5619284522934211,0.3956723222491395
9300-AGZNL,0.9576007745425607,0.39097840900801756,0.566622365534543
9300-AGZNL,0.9576007745425607,0.8387524968092551,0.11884827773330553
9300-AGZNL,0.9576007745425607,0.9313921870550567,0.026208587487503987
9300-AGZNL,0.9576007745425607,0.7739414390175118,0.18365933552504887
9300-AGZNL,0.9576007745425607,0.9362067628348186,0.021394011707742022
9497-QCMMS,0.955802872485707,0.8965908924458335,0.05921198003987349
9497-QCMMS,0.955802872485707,0.9383838640801381,0.01741900840556887
9497-QCMMS,0.955802872485707,0.9469269574089574,0.008875915076749563
9497-QCMMS,0.955802872485707,0.7856892362854877,0.17011363620021924
9497-QCMMS,0.955802872485707,0.9484151902873457,0.007387682198361278
9497-QCMMS,0.955802872485707,0.9459629934678614,0.009839879017845554
9497-QCMMS,0.955802872485707,0.6208860267750907,0.3349168457106162
9497-QCMMS,0.955802872485707,0.48335874349942537,0.4724441289862816
9497-QCMMS,0.955802872485707,0.9074388951306417,0.04836397735506526
9497-QCMMS,0.955802872485707,0.8423631176072371,0.1134397548784698
9497-QCMMS,0.955802872485707,0.8894053763691092,0.06639749611659773
9497-QCMMS,0.955802872485707,0.7254094237256498,0.23039344876005718
9497-QCMMS,0.955802872485707,0.8586832694922197,0.09711960299348721
